product name,color,description,url,time,price,currency,size,region,category
Barocco Signature Print Silk Shirt,print,A Versace classic - this pure silk twill shirt features the Barocco Signature print: an all-over motif of Gianni Versace's handwriting fused,https://www.versace.com/us/en-us/women/clothing/blouses-tops/barocco-signature-print-silk-shirt-a7001/A82662-A233248_A7001.html?cgid=120200,2020-04-05 19:43:22.875580,"$1,125",USD,"38,40,42,44",us,"women,clothing,blouses-tops"
V Barocco Print Silk Shirt,print,"This long sleeve, collared, button-up shirt is crafted from pure silk twill in the V Barocco print. The design features gold Medusa, Baroque",https://www.versace.com/us/en-us/women/clothing/blouses-tops/v-barocco-print-silk-shirt-a7900/A84722-A233232_A7900.html?cgid=120200,2020-04-05 19:43:22.893272,"$1,450",USD,"36,38,40,42,44,46,48",us,"women,clothing,blouses-tops"
Viscose Sweater,black,"Crafted in fluid viscose, this high neck sweater features a ribbed knit pattern.",https://www.versace.com/us/en-us/women/clothing/knitwear/viscose-sweater-a1008/A84635-A232033_A1008.html?cgid=120400,2020-04-05 19:43:22.907914,$425,USD,42,us,"women,clothing,knitwear"
Barocco Rodeo Print Silk Shirt,"print,print","Crafted in exceptional quality silk twill, this long sleeve, button-up shirt boasts the Barocco Rodeo print, depicting the central Baroque l",https://www.versace.com/us/en-us/women/clothing/blouses-tops/barocco-rodeo-print-silk-shirt-a7008/A82662-A233263_A7008.html?cgid=120200,2020-04-05 19:43:22.933494,"$1,125",USD,"36,38,40,42,44,46",us,"women,clothing,blouses-tops"
Safety Pin Knit Top,black,"This knit top is enriched with heritage Safety Pin hardware along the deep, round neckline.",https://www.versace.com/us/en-us/women/clothing/knitwear/safety-pin-knit-top-a1008/A85864-A233105_A1008.html?cgid=120400,2020-04-05 19:43:22.948213,$850,USD,"36,38,40,42,44",us,"women,clothing,knitwear"
Safety Pin Wool Sweater,black,"Crafted from pure wool, this crew neck, long sleeve sweater features a front cut-out enriched with Medusa Safety Pin hardware.",https://www.versace.com/us/en-us/women/clothing/knitwear/safety-pin-wool-sweater-a1008/A83631-A230727_A1008.html?cgid=120400,2020-04-05 19:43:22.974895,"$1,095",USD,"36,38,40,42",us,"women,clothing,knitwear"
Safety Pin Wool Cardigan,black,"Crafted from pure wool, this ribbed knit cardigan is enriched with heritage Safety Pin hardware. The v-neck knit features two front patch po",https://www.versace.com/us/en-us/women/clothing/knitwear/safety-pin-wool-cardigan-a1008/A85696-A233143_A1008.html?cgid=120400,2020-04-05 19:43:23.040963,"$1,125",USD,"38,40,42,44",us,"women,clothing,knitwear"
Knit Crop Top,"orange,black",Ribbed knit crop top with a round neck and backline.,https://www.versace.com/us/en-us/women/clothing/knitwear/knit-crop-top-a1164/A85428-A233108_A1164.html?cgid=120400,2020-04-05 19:43:23.084371,$475,USD,"36,38,40",us,"women,clothing,knitwear"
Medusa Accent Knit Dress,black,Ribbed knit dress with an accent neckline - the long sleeved dressed features visible shoulder strap accents enrcihed with Medusa hardware.,https://www.versace.com/us/en-us/women/clothing/knitwear/medusa-accent-knit-dress-a1008/A85521-A233112_A1008.html?cgid=120400,2020-04-05 19:43:23.101471,$925,USD,"36,38,40,42,44,46,48",us,"women,clothing,knitwear"
Medusa Accent Knit Top,black,Ribbed knit top enriched with Medusa hardware on the shoulder straps.,https://www.versace.com/us/en-us/women/clothing/knitwear/medusa-accent-knit-top-a1008/A85536-A233112_A1008.html?cgid=120400,2020-04-05 19:43:23.130653,$675,USD,"36,38,40,42,44,46,48",us,"women,clothing,knitwear"
